sample_type,anchor_text,positive_text,repeat_weight,reason_category,reason_source_field,reason_source_text,Q1,A1,Q2,session_id,Q1_row,Q2_row,distance,relation_type,dep_reason,thought_process,label,done
positive,"请问于在青：请问:2004年公司利润下降是pvc价格上涨原因,可2005年pvc价格大副下降可利润还是没提升,现在请问2006年公司利润会有增长吗? 05年毛利率和04年基本持平，06年随着募集资金项目的投产公司利润将会有所增长",请问于在青：募集资金的主要投向在智能卡基材，请问该项目能否带来利润，同行业类似项目情况如何，你们调研过吗？,2,performance_governance,dep_reason,Q2针对A1中募集资金项目的投产继续追问具体项目利润及同行调研情况。,"请问于在青：请问:2004年公司利润下降是pvc价格上涨原因,可2005年pvc价格大副下降可利润还是没提升,现在请问2006年公司利润会有增长吗?",05年毛利率和04年基本持平，06年随着募集资金项目的投产公司利润将会有所增长,请问于在青：募集资金的主要投向在智能卡基材，请问该项目能否带来利润，同行业类似项目情况如何，你们调研过吗？,002002_2005,0,4,4,Elaboration,Q2针对A1中募集资金项目的投产继续追问具体项目利润及同行调研情况。,,,1
positive,"请问于在青：请问:2004年公司利润下降是pvc价格上涨原因,可2005年pvc价格大副下降可利润还是没提升,现在请问2006年公司利润会有增长吗? 05年毛利率和04年基本持平，06年随着募集资金项目的投产公司利润将会有所增长",请问于在青：公司每股收益低于去年，是什么原因,2,performance_governance,dep_reason,Q2针对A1未解释利润未提升的原因，继续追问每股收益下降的具体原因。,"请问于在青：请问:2004年公司利润下降是pvc价格上涨原因,可2005年pvc价格大副下降可利润还是没提升,现在请问2006年公司利润会有增长吗?",05年毛利率和04年基本持平，06年随着募集资金项目的投产公司利润将会有所增长,请问于在青：公司每股收益低于去年，是什么原因,002002_2005,0,5,5,Elaboration,Q2针对A1未解释利润未提升的原因，继续追问每股收益下降的具体原因。,,,1
positive,请问嵇雪松：作为首批上市的中小板企业，公司能否在２００５年体现出它的高成长性呢？有什么具体的举措？ 2005年已经过去，公司在经受住原材料在高位运行、激烈的市场竞争等多重压力，公司的经营业绩仍保持稳定，随着2006年募集资金项目的建成投产，公司的抗风险能力将会有提升。,请问于在青：募集资金的主要投向在智能卡基材，请问该项目能否带来利润，同行业类似项目情况如何，你们调研过吗？,2,performance_governance,dep_reason,Q2针对A1提到的募集资金项目继续追问智能卡基材项目的利润和调研情况。,请问嵇雪松：作为首批上市的中小板企业，公司能否在２００５年体现出它的高成长性呢？有什么具体的举措？,2005年已经过去，公司在经受住原材料在高位运行、激烈的市场竞争等多重压力，公司的经营业绩仍保持稳定，随着2006年募集资金项目的建成投产，公司的抗风险能力将会有提升。,请问于在青：募集资金的主要投向在智能卡基材，请问该项目能否带来利润，同行业类似项目情况如何，你们调研过吗？,002002_2005,3,4,1,Elaboration,Q2针对A1提到的募集资金项目继续追问智能卡基材项目的利润和调研情况。,,,1
positive,请问于在青：石油涨价是否是造成一季度亏损的主要原因？ 一季度的报告将在4月29日公告，届时敬请关注季报,请问于在青：石油价格和人民币汇率变化对公司影响如何？,1,disclosure_detail,dep_reason,A1没有直接解释石油涨价对亏损的影响，而是要求关注一季报。Q2继续追问石油价格影响，并进一步加入人民币汇率变化这一相关外部变量，是在补充追问Q1未被A1回答的经营影响机制；若不参考上一轮关于石油价格和季报披露的语境，Q2的追问对象不完整。,请问于在青：石油涨价是否是造成一季度亏损的主要原因？,一季度的报告将在4月29日公告，届时敬请关注季报,请问于在青：石油价格和人民币汇率变化对公司影响如何？,002002_2005,33,38,5,Elaboration,A1没有直接解释石油涨价对亏损的影响，而是要求关注一季报。Q2继续追问石油价格影响，并进一步加入人民币汇率变化这一相关外部变量，是在补充追问Q1未被A1回答的经营影响机制；若不参考上一轮关于石油价格和季报披露的语境，Q2的追问对象不完整。,,,1
positive,请问于在青：公司董事、监事、高级管理人员及核心技术人员持有公司股票吗？ 目前公司除陈建伟董事持有公司1450股外，其他董监事和高管未持有公司股票。,请问朱卫红：公司高管自己持有公司的股票吗？能不能公开持股增减的详细情况？,1,disclosure_detail,dep_reason,A1明确给出董监高及核心技术人员持股情况，并指出仅陈建伟董事持有少量股份。Q2继续围绕“高管是否持股”这一A1锚点，要求向具体高管确认并公开持股增减细节，因此是在细化A1披露信息而非独立新问题。,请问于在青：公司董事、监事、高级管理人员及核心技术人员持有公司股票吗？,目前公司除陈建伟董事持有公司1450股外，其他董监事和高管未持有公司股票。,请问朱卫红：公司高管自己持有公司的股票吗？能不能公开持股增减的详细情况？,002002_2005,40,45,5,Elaboration,A1明确给出董监高及核心技术人员持股情况，并指出仅陈建伟董事持有少量股份。Q2继续围绕“高管是否持股”这一A1锚点，要求向具体高管确认并公开持股增减细节，因此是在细化A1披露信息而非独立新问题。,,,1
positive,请问于在青：请问何时分红? 公司将于2007年5月15日召开年度股东大会，利润分配及转增具体时间请关注公司公告。,"请问于在青：于董事长:您好!首先感谢你百忙中出席本次会议,以下有一问题想向您了解:请问公司是否在5月15日股东会议后,执行送转股方案.谢谢!",2,shareholder_return,dep_reason,Q2针对A1中的股东大会日期追问送转股执行时间。,请问于在青：请问何时分红?,公司将于2007年5月15日召开年度股东大会，利润分配及转增具体时间请关注公司公告。,"请问于在青：于董事长:您好!首先感谢你百忙中出席本次会议,以下有一问题想向您了解:请问公司是否在5月15日股东会议后,执行送转股方案.谢谢!",002002_2006,20,21,1,Elaboration,Q2针对A1中的股东大会日期追问送转股执行时间。,,,1
positive,请问与董事长，公司股票重大事项是利好还是利空呢？ 重大事项不久会有消息，请注意公司公告．,请问于在青：请问：公司到底在论证那方面的重大事项，可以略做透露吗？,1,disclosure_detail,dep_reason,Q2针对A1回避，继续追问同一重大事项具体内容。,请问与董事长，公司股票重大事项是利好还是利空呢？,重大事项不久会有消息，请注意公司公告．,请问于在青：请问：公司到底在论证那方面的重大事项，可以略做透露吗？,002002_2007,0,1,1,Challenge,Q2针对A1回避，继续追问同一重大事项具体内容。,,,1
positive,请问于在青：琼花对投资者信息揭示不及时或有所隐瞒？如何做到对投资者注意风险，而又是长时的停牌？ 关于停牌情况，请多注意公司公告．,"请问,江苏琼花股票什么时候可以交易!",1,disclosure_detail,dep_reason,Q2重复追问Q1中的停牌问题，而A1仅以“请关注公告”回避，未给出具体交易时间。,请问于在青：琼花对投资者信息揭示不及时或有所隐瞒？如何做到对投资者注意风险，而又是长时的停牌？,关于停牌情况，请多注意公司公告．,"请问,江苏琼花股票什么时候可以交易!",002002_2007,2,3,1,Complaint,Q2重复追问Q1中的停牌问题，而A1仅以“请关注公告”回避，未给出具体交易时间。,,,1
positive,请问于在青：琼花对投资者信息揭示不及时或有所隐瞒？如何做到对投资者注意风险，而又是长时的停牌？ 关于停牌情况，请多注意公司公告．,请问于在青：我们是股东难道不知道公司为什么停牌吗?,1,disclosure_detail,dep_reason,Q2针对A1回避停牌原因，抱怨股东无法获取信息。,请问于在青：琼花对投资者信息揭示不及时或有所隐瞒？如何做到对投资者注意风险，而又是长时的停牌？,关于停牌情况，请多注意公司公告．,请问于在青：我们是股东难道不知道公司为什么停牌吗?,002002_2007,2,6,4,Complaint,Q2针对A1回避停牌原因，抱怨股东无法获取信息。,,,1
positive,请问于在青：我们是股东难道不知道公司为什么停牌吗? 您作为琼花的股东，感谢您的关心，但请原谅目前实在不便透露，再等数日，一定会如实公告。,请问于在青：重大事项是借壳????????????难到是增发圈钱?,1,disclosure_detail,dep_reason,Q2针对A1回避停牌原因，继续追问并猜测具体事项，施加追问压力。,请问于在青：我们是股东难道不知道公司为什么停牌吗?,您作为琼花的股东，感谢您的关心，但请原谅目前实在不便透露，再等数日，一定会如实公告。,请问于在青：重大事项是借壳????????????难到是增发圈钱?,002002_2007,6,10,4,Challenge,Q2针对A1回避停牌原因，继续追问并猜测具体事项，施加追问压力。,,,1
